Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim15;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;26.578;19.151;88.015;8.354;12.426;13.594;9.845;7.393;6.070;10.077;4.457;12.227;3.572;133.744
;Contra o patrimônio;118.607;56.142;122.425;12.493;22.390;19.631;9.728;6.611;16.525;12.208;3.148;16.286;3.405;297.174
I;Contra a Dignidade Sexual;716;555;1.892;204;313;237;205;154;150;315;50;179;85;3.163
;Entorpecentes;4.270;1.594;9.477;772;1.164;1.683;960;590;854;1.187;606;1.226;435;15.341
;Contravencionais;1.945;1.673;9.175;595;1.061;1.765;1.218;833;586;1.016;555;1.161;385;12.793
;Outros criminais (não inclui contravenções);6.011;4.337;20.562;1.684;2.652;2.854;2.220;1.848;1.416;2.775;1.190;2.990;933;30.910
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);51.826;26.802;26.599;3.349;6.452;2.815;1.007;690;5.637;2.368;167;3.622;492;105.227
;Total de delitos;158.127;83.452;251.546;24.102;40.006;39.764;24.176;17.429;25.601;27.578;10.006;34.069;8.815;493.125
;Não Criminais;123.757;65.009;177.389;16.996;29.351;27.736;16.270;10.372;18.345;18.313;7.178;26.110;6.718;366.155
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;161.771;128.132;419.507;42.289;69.246;68.371;41.237;28.708;32.573;45.425;17.432;58.243;15.983;709.410
;Total de termos circunstanciados lavrados pela Polícia Civil (2);6.460;4.818;29.484;2.518;2.779;4.419;4.870;2.542;2.217;2.319;3.225;3.749;846;40.762
;Total de inquéritos instaurados;24.914;16.835;55.834;5.869;7.550;8.855;5.743;4.264;4.445;6.626;2.950;7.147;2.385;97.583
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (8);1;1;0;0;0;0;0;0;0;0;0;0;0;2
;Pessoas mortas por policiais civis de folga (8);5;0;1;1;0;0;0;0;0;0;0;0;0;6
IV;Pessoas feridas em confronto com a polícia civil em serviço;7;4;6;1;0;0;0;1;0;2;0;1;1;17
;Pessoas feridas por policiais civis de folga;5;2;2;1;1;0;0;0;0;0;0;0;0;9
V;Policiais civis mortos em serviço;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VI;Policiais civis feridos em serviço;12;2;13;1;1;0;4;0;0;4;0;3;0;27
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
