Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim13;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;30.785;21.858;98.038;8.340;13.207;14.376;10.659;9.004;6.467;11.387;5.454;14.901;4.243;150.681
;Contra o patrimônio;123.597;54.545;125.316;12.855;21.324;20.021;9.832;7.255;17.151;12.591;3.106;17.697;3.484;303.458
I;Contra a Dignidade Sexual;718;637;1.967;147;309;252;193;169;175;321;70;241;90;3.322
;Entorpecentes;1.535;1.246;9.521;896;1.083;2.052;923;561;602;958;439;1.650;357;12.302
;Contravencionais;2.526;2.056;10.732;886;1.105;2.025;1.209;914;671;1.250;667;1.556;449;15.314
;Outros criminais (não inclui contravenções);5.489;4.772;23.103;1.865;2.710;3.599;2.209;2.161;1.757;2.969;1.311;3.401;1.121;33.364
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);48.262;22.572;26.211;3.158;5.572;3.000;1.104;737;5.521;2.054;193;4.527;345;97.045
;Total de delitos;164.650;85.114;268.677;24.989;39.738;42.325;25.025;20.064;26.823;29.476;11.047;39.446;9.744;518.441
;Não Criminais;127.212;58.931;174.197;15.977;26.431;27.154;15.896;9.140;17.522;19.502;7.617;28.354;6.604;360.340
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;191.365;130.405;433.663;42.101;65.407;70.797;42.091;29.430;33.995;48.221;18.915;66.478;16.228;755.433
;Total de termos circunstanciados lavrados pela Polícia Civil (2);3.195;3.960;32.260;2.611;3.277;4.656;4.828;3.136;1.980;2.609;3.657;4.402;1.104;39.415
;Total de inquéritos instaurados;27.030;16.864;56.249;6.020;7.334;9.216;5.274;4.305;4.466;6.780;3.020;7.317;2.517;100.143
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (9);4;0;0;0;0;0;0;0;0;0;0;0;0;4
;Pessoas mortas por policiais civis de folga (9);8;1;1;0;0;0;0;0;1;0;0;0;0;10
IV;Pessoas feridas em confronto com a polícia civil em serviço;3;5;2;0;0;0;1;0;1;0;0;0;0;10
;Pessoas feridas por policiais civis de folga;4;1;5;1;2;0;0;0;2;0;0;0;0;10
V;Policiais civis mortos em serviço;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VI;Policiais civis feridos em serviço;6;2;8;1;1;1;1;0;0;0;0;3;1;16
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
VII;Prisões efetuadas (em flagrante+ por mandado);8.395;6.467;22.762;2.393;2.932;3.693;2.273;1.446;2.199;2.848;1.037;3.125;816;37.624
;Nº de pessoas presas em flagrante;8.972;5.284;18.117;1.778;2.535;3.145;1.683;1.102;1.690;2.320;850;2.395;619;32.373
;Nº de pessoas presas por mandado;1.996;1.848;7.791;806;858;1.206;856;681;637;1.032;437;1.000;278;11.635
;Nº de autos de apreensão (art 173 ECA);1.151;483;2.018;154;235;679;216;119;179;134;63;198;41;3.652
;Nº de infratores apreendidos em flagrante;902;747;2.746;249;346;757;271;171;245;154;90;404;59;4.395
;Nº de infratores apreendidos por mandado;83;106;611;74;65;123;78;28;58;57;22;83;23;800
VIII;Nº de revistas pessoais/ identificação (10);849.880;367.730;2.318.412;288.617;250.270;489.446;170.254;93.937;206.817;148.084;68.891;234.537;93.803;3.536.022
IX;Armas de fogo apreendidas;1.251;722;2.673;259;403;368;295;164;320;323;95;364;82;4.646
X;Nº de Veículos Recuperados;9.981;5.440;9.124;1.057;1.774;1.379;537;536;919;708;133;1.892;189;24.545
