Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim19;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;24.690;16.025;74.497;7.330;10.566;10.450;7.334;6.163;5.888;8.367;4.942;10.242;3.215;115.212
;Contra o patrimônio;123.633;46.363;102.926;10.253;19.230;15.564;7.172;5.468;14.148;10.751;3.464;13.644;3.232;272.922
I;Contra a Dignidade Sexual;1.066;764;2.767;324;378;366;261;233;239;462;137;286;81;4.597
;Entorpecentes;1.799;1.405;8.969;773;1.065;1.496;680;696;1.119;1.044;513;1.236;347;12.173
;Contravencionais;1.450;888;7.157;577;857;1.172;824;519;498;862;538;944;366;9.495
;Outros criminais (não inclui contravenções);5.310;3.536;17.253;1.600;2.308;2.106;1.540;1.569;1.598;2.331;1.222;2.223;756;26.099
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);43.794;19.102;18.130;2.287;4.129;2.035;643;472;4.017;1.598;225;2.452;272;81.026
;Total de delitos;157.948;68.981;213.569;20.857;34.404;31.154;17.811;14.648;23.490;23.817;10.816;28.575;7.997;440.498
;Não Criminais;116.914;60.564;183.620;19.513;33.110;25.731;15.038;11.332;18.825;18.902;8.521;25.522;7.126;361.098
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;162.472;127.775;406.254;42.050;70.334;59.436;33.626;27.386;43.114;43.038;19.628;52.275;15.367;696.501
;Total de termos circunstanciados lavrados pela Polícia Civil (2);2.170;2.500;21.233;1.841;1.733;2.978;2.268;2.343;2.029;2.044;2.812;2.227;958;25.903
;Total de inquéritos instaurados;22.080;14.695;52.517;5.515;7.321;7.882;4.209;4.244;4.247;6.362;3.655;6.812;2.270;89.292
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (8);2;2;1;0;0;0;0;0;1;0;0;0;0;5
;Pessoas mortas por policiais civis de folga (8);0;0;0;0;0;0;0;0;0;0;0;0;0;0
IV;Pessoas feridas em confronto com a polícia civil em serviço;3;0;2;0;0;0;0;0;0;1;1;0;0;5
;Pessoas feridas por policiais civis de folga;4;2;0;0;0;0;0;0;0;0;0;0;0;6
V;Policiais civis mortos em serviço;0;0;0;0;0;0;0;0;0;0;0;0;0;0
