Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim18;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;21.744;14.981;71.013;7.044;10.249;9.885;6.932;5.763;5.185;8.223;4.907;9.556;3.269;107.738
;Contra o patrimônio;116.503;47.523;109.561;11.267;20.116;17.886;7.912;6.028;14.017;11.341;3.508;14.233;3.253;273.587
I;Contra a Dignidade Sexual;857;728;2.418;252;344;280;272;189;205;406;152;231;87;4.003
;Entorpecentes;1.745;1.520;9.545;659;1.150;1.744;859;640;1.137;1.047;629;1.330;350;12.810
;Contravencionais;1.154;785;7.198;513;816;1.178;858;557;438;901;562;1.022;353;9.137
;Outros criminais (não inclui contravenções);4.434;3.139;16.597;1.583;2.157;2.071;1.562;1.485;1.361;2.180;1.122;2.326;750;24.170
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);42.289;21.425;19.823;2.498;4.703;2.450;699;497;4.100;1.695;228;2.684;269;83.537
;Total de delitos;146.437;68.676;216.332;21.318;34.832;33.044;18.395;14.662;22.343;24.098;10.880;28.698;8.062;431.445
;Não Criminais;137.300;61.490;184.747;18.767;34.007;26.798;15.648;10.790;18.619;18.443;8.448;26.087;7.140;383.537
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;155.458;123.625;395.536;41.345;69.921;61.306;34.588;26.728;30.624;41.603;19.838;54.061;15.522;674.619
;Total de termos circunstanciados lavrados pela Polícia Civil (2);1.838;2.758;22.063;2.007;1.805;3.023;2.997;2.264;1.952;1.645;2.986;2.355;1.029;26.659
;Total de inquéritos instaurados;22.576;14.376;50.284;5.645;7.011;7.722;4.219;3.985;3.966;5.769;3.405;6.425;2.137;87.236
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (8);1;0;1;0;0;0;0;0;0;1;0;0;0;2
;Pessoas mortas por policiais civis de folga (8);2;0;0;0;0;0;0;0;0;0;0;0;0;2
IV;Pessoas feridas em confronto com a polícia civil em serviço;3;1;1;1;0;0;0;0;0;0;0;0;0;5
;Pessoas feridas por policiais civis de folga;6;0;4;0;0;1;0;0;3;0;0;0;0;10
V;Policiais civis mortos em serviço;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;Policiais civis mortos de folga;1;0;1;0;0;0;0;0;1;0;0;0;0;2
VI;Policiais civis feridos em serviço;7;4;9;2;3;0;0;0;3;0;0;1;0;20
;Policiais civis feridos de folga;3;2;3;1;0;2;0;0;0;0;0;0;0;8
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
VII;Prisões efetuadas (em flagrante+ por mandado);7.555;7.256;27.395;2.231;3.183;4.134;2.681;2.182;2.592;3.983;1.643;3.755;1.011;42.206
;Nº de pessoas presas em flagrante;8.113;5.120;17.262;1.588;2.509;2.794;1.452;1.024;1.743;2.168;867;2.440;677;30.495
;Nº de pessoas presas por mandado;3.064;2.443;13.098;883;1.086;1.873;1.490;1.299;1.122;2.281;1.025;1.623;416;18.605
;Nº de autos de apreensão (art 173 ECA);764;508;1.521;194;178;349;141;68;134;126;70;197;64;2.793
;Nº de infratores apreendidos em flagrante;643;667;2.037;229;273;423;161;100;251;175;89;265;71;3.347
;Nº de infratores apreendidos por mandado;100;143;677;96;45;122;52;59;79;59;56;92;17;920
VIII;Nº de revistas pessoais/ identificação (9);942.234;506.795;2.047.929;182.907;174.936;455.458;91.635;93.203;242.122;170.028;63.256;258.879;71.375;3.496.958
IX;Armas de fogo apreendidas;634;486;1.837;264;253;265;143;98;151;231;85;262;85;2.957
X;Nº de Veículos Recuperados;5.974;3.769;6.301;670;1.398;890;405;290;634;460;120;1.321;113;16.044
ITEM;Ocorrências envolvendo policiais militares (4);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia militar em serviço (8);65;38;62;4;10;12;4;4;6;4;0;18;0;165
;Pessoas mortas por policiais militares de folga (8A);38;7;12;1;3;1;0;0;3;0;0;4;0;57
IV;Pessoas feridas em confronto com a polícia militar em serviço;57;32;44;2;6;6;6;3;8;6;2;5;0;133
;Pessoas feridas por policiais militares de folga;36;10;1;0;0;0;0;0;0;0;0;1;0;47
V;Policiais militares mortos em serviço;2;1;3;0;1;0;0;0;1;1;0;0;0;6
;Policiais militares mortos de folga;6;4;1;0;0;0;0;0;1;0;0;0;0;11
VI;Policiais militares feridos em serviço;22;12;16;0;5;2;1;2;3;2;1;0;0;50
;Policiais militares feridos de folga;21;3;8;1;3;1;2;0;0;1;0;0;0;32
ITEM;Ocorrências policiais registradas, por tipo;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Homicídio doloso;173;169;423;80;67;63;27;27;37;49;12;51;10;765
;Nº de Vítimas em Homicídio Doloso;188;183;439;83;73;63;27;27;42;50;12;52;10;810
;Homicídio Doloso por acidente de trânsito (10);3;1;1;0;0;0;0;0;0;1;0;0;0;5
;Nº de Vítimas em Homicídio Doloso por acidente de trânsito (11);3;1;1;0;0;0;0;0;0;1;0;0;0;5
;Homicídio culposo por Acidente de Trânsito;110;127;553;49;69;84;48;41;51;85;29;81;16;790
;Homicídio Culposo (7);117;133;573;52;71;85;50;42;52;90;30;85;16;823
;Tentativa de homicídio;187;164;549;100;55;92;31;43;68;47;21;64;28;900
;Lesão corporal dolosa;7.219;4.790;19.968;1.949;2.868;2.886;2.036;1.627;1.462;2.383;1.337;2.640;780;31.977
;Lesão corporal culposa por Acidente de Trânsito;3.353;2.442;11.935;952;1.743;1.325;1.152;1.229;756;1.109;950;1.927;792;17.730
;Lesão corporal culposa outras;262;122;392;43;39;79;27;50;72;25;20;23;14;776
;Lesão Corporal Seguida de Morte;3;3;20;0;4;7;0;2;2;3;1;0;1;26
;Latrocínio;19;15;35;10;4;5;0;4;8;2;0;2;0;69
;Nº de Vítimas de Latrocínio;20;15;37;11;4;5;0;4;9;2;0;2;0;72
;Estupro TOTAL (17);636;619;1.734;189;231;213;172;139;166;314;95;159;56;2.989
;Estupro;162;155;447;38;80;66;47;30;54;63;21;36;12;764
;Estupro de Vulnerável;474;464;1.287;151;151;147;125;109;112;251;74;123;44;2.225
XII;Extorsão mediante seqüestro (5);0;1;1;0;0;1;0;0;0;0;0;0;0;2
;Tráfico de entorpecentes;1.655;1.493;7.549;594;950;1.493;643;527;465;901;443;1.246;287;10.697
;Roubo - outros TOTAL(6);34.096;15.541;14.004;1.796;3.015;1.768;453;301;3.401;1.088;114;1.881;187;63.641
;Roubo - Outros;33.029;14.929;13.551;1.765;2.882;1.726;446;297;3.290;1.062;111;1.787;185;61.509
;Roubo de veículos;7.365;5.080;3.626;423;1.386;400;47;26;488;242;7;591;16;16.071
;Roubo a Banco;4;2;4;1;1;0;0;0;0;1;0;1;0;10
;Roubo de Carga;1.063;610;449;30;132;42;7;4;111;25;3;93;2;2.122
;Furto - outros;50.813;15.396;59.404;5.823;9.758;10.606;4.998;4.021;6.863;6.300;2.115;6.971;1.949;125.613
;Furto de veículos;9.899;5.788;8.896;1.174;1.893;1.214;456;386;768;1.018;134;1.731;122;24.583
ITEM;Exames de Natureza Necroscópica (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XII;Exames Necroscópicos Realizados - IML;2.851;1.910;4.300;...;...;...;...;...;...;...;...;...;...;9.061
;Laudos Necroscópicos Expedidos do Ano - IML;2.570;1.862;4.030;...;...;...;...;...;...;...;...;...;...;8.462
;Laudos Necroscópicos Expedidos do Ano Anterior IML;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Clínicos e Laboratoriais (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIII;Exames Clínicos Laboratoriais Realizados - IML (14);27.685;17.821;55.873;...;...;...;...;...;...;...;...;...;...;101.379
;Laudos Clínicos Laboratoriais Expedidos do Ano - IML (15);27.440;17.614;54.302;...;...;...;...;...;...;...;...;...;...;99.356
;Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Criminalísticos (12);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XIV;Exames Periciais Realizados - IC;33.588;17.159;69.224;...;...;...;...;...;...;...;...;...;...;119.971
;Laudos Periciais Expedidos do Ano - IC;34.320;18.388;69.686;...;...;...;...;...;...;...;...;...;...;122.394
;Laudos Periciais Expedidos do Ano Anterior- IC;...;...;...;...;...;...;...;...;...;...;...;...;...;0
ITEM;Exames Outros do IML à Margem do GDL (12) (13);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
XV;Exames Outros Realizados - IML (14);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano - IML (15);...;...;...;...;...;...;...;...;...;...;...;...;...;0
;Laudos Outros Expedidos do Ano Anterior IML (16);...;...;...;...;...;...;...;...;...;...;...;...;...;0
FONTE: DEPARTAMENTO DE POLÍCIA CIVIL E DA POLÍCIA MILITAR;;;;;;;;;;;;;;;
(1) Exclui a Capital.;;;;;;;;;;;;;;;
(2) Inclui Termos circunstanciados indiretos e diretos, ou seja, com e sem a elaboração de boletim de ocorrência anterior.;;;;;;;;;;;;;;;
(3) Dados da Corregedoria da Polícia Civil.;;;;;;;;;;;;;;;
(4) Dados da Corregedoria da Polícia Militar.;;;;;;;;;;;;;;;
(5) Dados do Serviço de Informações Criminais da Divisão Anti-sequestro.;;;;;;;;;;;;;;;
(6) Incluído Roubo Carga e Banco.;;;;;;;;;;;;;;;
(7) Homicídio Culposo inclui Homicídio Culposo Acidente de Trânsito.;;;;;;;;;;;;;;;
(8) Casos de morte em decorrência de intervenção policial, excluídos homicídio doloso e culposo.;;;;;;;;;;;;;;;
"(8A)  Até março de 2015, a Corregedoria da Polícia Militar utilizava uma categoria específica denominada ""Homicídio doloso - fora de serviço (reações)"", contabilizando somente os casos em que consideravam presentes excludentes de ilicitude. Eram excluídos portanto, os homicídios dolosos e culposos. Esses dados sempre foram publicados no DOE, no último dia do mês seguinte da ocorrência dos dados.  A partir de abril de 2015, a Polícia Militar adequou à exata classificação da Res. SSP 40/15, passando a contabilizar todos os casos de morte em decorrência de qualquer intervenção considerada lícita do policial militar em folga, inclusive os casos em que presentes as excludentes de ilicitude. Continuam excluídos os homicídios dolosos, inclusive ""homicídios múltiplos"" e culposos, que são contabilizados nos termos da Res. SSP 160.";;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
(9) Dados de Revistas Pessoais no Interior inclui também CPRv e CPAmb.;;;;;;;;;;;;;;;
(10) Dados de Homicídio Doloso por acidente de trânsito já incluídos em Homicídio Doloso.;;;;;;;;;;;;;;;
(11) Dados de Vítimas em Homicídio Doloso por acidente de trânsito já incluídos em Nº de Vítimas em Homicídio Doloso.;;;;;;;;;;;;;;;
(12) Dados da Superintendência da Polícia Técnico Científica.;;;;;;;;;;;;;;;
(13) Tratam de dados de produtividade apartados dos sistemas centrais informatizados de Gestão de Laudos (GDL).;;;;;;;;;;;;;;;
"(14) A soma destes itens correspondem ao campo  ""Exames Clínicos Laboratoriais Realizados - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(15) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
"(16) A soma destes itens correspondem ao campo ""Laudos Clínicos Laboratoriais Expedidos do Ano Anterior - IML"" dos períodos anteriores";;;;;;;;;;;;;;;
(17) Dados de Estupro inclui Estupro de Vulnerável;;;;;;;;;;;;;;;
(…) Dados não desagregados por departamentos;;;;;;;;;;;;;;;
