Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim20;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;23.846;18.390;71.295;7.477;9.646;9.900;7.128;6.035;5.592;8.083;5.056;9.333;3.045;113.531
;Contra o patrimônio;110.208;50.045;109.273;11.394;19.565;16.477;8.356;5.772;14.996;11.556;3.609;13.905;3.643;269.526
I;Contra a Dignidade Sexual;954;866;2.766;287;435;364;241;210;257;450;122;289;111;4.586
;Entorpecentes;1.782;1.298;7.455;618;961;1.325;662;579;719;872;375;1.064;280;10.535
;Contravencionais;1.652;1.107;7.653;610;984;1.344;797;524;565;915;516;1.052;346;10.412
;Outros criminais (não inclui contravenções);5.182;4.029;18.915;1.612;2.479;2.486;1.605;1.722;2.142;2.516;1.206;2.372;775;28.126
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);36.365;16.298;14.661;1.740;3.372;1.741;545;412;3.417;1.198;166;1.836;234;67.324
;Total de delitos;143.624;75.735;217.357;21.998;34.070;31.896;18.789;14.842;24.271;24.392;10.884;28.015;8.200;436.716
;Não Criminais;122.742;72.328;179.989;21.677;31.504;26.069;14.336;11.144;17.817;17.802;8.597;24.753;6.290;375.059
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;111.643;128.892;399.785;45.065;67.225;59.114;33.668;27.316;42.815;41.545;19.326;49.019;14.692;640.320
;Total de termos circunstanciados lavrados pela Polícia Civil (2);1.910;2.286;17.964;1.412;1.542;2.681;1.838;1.940;1.337;1.734;2.573;2.015;892;22.160
;Total de inquéritos instaurados;21.112;14.312;47.930;5.078;6.584;7.232;4.108;3.836;4.049;5.961;2.962;5.978;2.142;83.354
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (8);2;1;3;1;0;0;0;0;1;1;0;0;0;6
;Pessoas mortas por policiais civis de folga (8);0;1;1;0;0;0;0;0;1;0;0;0;0;2
IV;Pessoas feridas em confronto com a polícia civil em serviço;4;1;3;1;1;0;0;0;1;0;0;0;0;8
;Pessoas feridas por policiais civis de folga;6;3;0;0;0;0;0;0;0;0;0;0;0;9
V;Policiais civis mortos em serviço;1;0;1;1;0;0;0;0;0;0;0;0;0;2
;Policiais civis mortos de folga;3;0;0;0;0;0;0;0;0;0;0;0;0;3
VI;Policiais civis feridos em serviço;7;5;10;4;2;0;0;0;2;0;2;0;0;22
;Policiais civis feridos de folga;2;1;3;0;0;0;1;0;1;0;1;0;0;6
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
VII;Prisões efetuadas (em flagrante+ por mandado);6.619;5.145;20.932;1.715;2.476;3.375;2.118;1.734;2.115;2.929;1.191;2.488;791;32.696
