Comunicado;;;;;;;;;;;;;;;
Lei 9.155/95;;;;;;;;;;;;;;;
Resolução 161/01;;;;;;;;;;;;;;;
04Trim21;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
ITEM;Ocorrências policiais registradas, por natureza;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
;Contra a pessoa;24.306;18.040;72.650;6.871;9.966;10.546;7.086;6.109;6.093;8.710;4.724;9.559;2.986;114.996
;Contra o patrimônio;137.018;61.488;138.124;13.194;26.401;20.752;10.214;8.006;17.458;16.072;4.698;17.336;3.993;336.630
I;Contra a Dignidade Sexual;932;796;2.886;278;451;365;253;215;309;476;168;275;96;4.614
;Entorpecentes;1.325;1.272;6.750;454;933;1.317;429;492;619;766;379;1.072;289;9.347
;Contravencionais;1.664;1.010;7.053;517;880;1.441;733;590;432;814;465;850;331;9.727
;Outros criminais (não inclui contravenções);7.848;4.549;19.290;1.470;2.681;2.735;1.493;1.825;2.125;2.664;1.028;2.569;700;31.687
;Total de Crimes Violentos ( Hom.Doloso, Roubo, Latrocínio, Estupro e EMS);38.808;17.847;16.064;1.919;3.771;2.230;537;444;3.134;1.429;229;2.122;249;72.719
;Total de delitos;173.093;87.155;246.753;22.784;41.312;37.156;20.208;17.237;27.036;29.502;11.462;31.661;8.395;507.001
;Não Criminais;135.759;79.464;206.571;24.620;36.849;31.333;16.318;13.370;19.595;20.693;9.224;28.324;6.245;421.794
ITEM;Atividades de polícia judiciária;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
II;Total de boletins de ocorrência;110.086;143.064;446.793;47.942;77.613;67.939;37.023;30.525;46.599;48.857;20.223;55.221;14.851;699.943
;Total de termos circunstanciados lavrados pela Polícia Civil (2);1.310;2.134;15.572;1.061;1.312;2.493;1.687;1.967;996;1.457;2.087;1.741;771;19.016
;Total de inquéritos instaurados;21.557;14.919;51.459;5.044;6.838;8.057;4.161;4.289;4.105;6.303;3.833;6.564;2.265;87.935
ITEM;Ocorrências envolvendo policiais civis (3);Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
III;Pessoas mortas em confronto com a polícia civil em serviço (8);5;3;0;0;0;0;0;0;0;0;0;0;0;8
;Pessoas mortas por policiais civis de folga (8);2;1;0;0;0;0;0;0;0;0;0;0;0;3
IV;Pessoas feridas em confronto com a polícia civil em serviço;1;4;8;1;0;0;3;1;1;1;0;1;0;13
;Pessoas feridas por policiais civis de folga;3;1;1;1;0;0;0;0;0;0;0;0;0;5
V;Policiais civis mortos em serviço;0;0;3;1;0;0;0;0;0;0;2;0;0;3
;Policiais civis mortos de folga;1;0;0;0;0;0;0;0;0;0;0;0;0;1
VI;Policiais civis feridos em serviço;7;7;16;2;0;1;4;3;2;0;1;3;0;30
;Policiais civis feridos de folga;3;3;4;0;1;1;0;0;1;0;0;1;0;10
ITEM;Atividades policiais;Capital;Gde SP(1);Interior;Deinter 1;Deinter 2;Deinter 3;Deinter 4;Deinter 5;Deinter 6;Deinter 7;Deinter 8;Deinter 9;Deinter 10;Estado
